farm_id,month,temperature,precipitation,soil_moisture,drought_index,risk_probability,terra_score,yield_t_ha
FARM-002,2023-12,28.6,17.2,29.0,0.388,0.3385,661,1.59
FARM-002,2024-01,19.3,10.8,31.1,0.419,0.335,665,1.55
FARM-002,2024-02,22.4,13.9,31.8,0.369,0.4108,589,1.5
FARM-002,2024-03,26.4,8.1,29.4,0.407,0.3972,603,1.47
FARM-002,2024-04,28.0,12.8,26.8,0.194,0.3489,651,1.52
FARM-002,2024-05,36.4,20.0,28.1,0.3,0.3286,671,1.62
FARM-002,2024-06,36.0,33.7,31.6,0.294,0.2923,708,1.61
FARM-002,2024-07,36.6,95.8,34.8,0.231,0.3193,681,1.62
FARM-002,2024-08,32.7,92.9,35.8,0.284,0.2874,713,1.78
FARM-002,2024-09,31.8,80.1,34.2,0.252,0.3155,685,1.7
FARM-002,2024-10,27.7,15.2,30.4,0.261,0.3275,673,1.66
FARM-002,2024-11,27.3,22.4,31.3,0.222,0.3294,671,1.48
FARM-002,2024-12,25.9,5.0,34.1,0.171,0.3372,663,1.46
FARM-002,2025-01,23.1,17.3,37.4,0.191,0.3173,683,1.63
FARM-002,2025-02,25.2,14.1,32.5,0.204,0.3895,611,1.7
FARM-002,2025-03,24.8,14.5,30.9,0.132,0.3816,618,1.41
FARM-002,2025-04,29.0,18.4,32.9,0.21,0.4346,565,1.53
FARM-002,2025-05,31.5,37.2,30.1,0.149,0.3652,635,1.56
FARM-002,2025-06,35.0,47.8,30.2,0.212,0.472,528,1.49
FARM-002,2025-07,35.6,68.0,37.6,0.213,0.4179,582,1.47
FARM-002,2025-08,33.4,50.7,34.8,0.284,0.4606,539,1.4
FARM-002,2025-09,34.9,20.2,32.9,0.203,0.4759,524,1.55
FARM-002,2025-10,30.5,24.3,29.9,0.227,0.4188,581,1.47
FARM-002,2025-11,27.0,10.6,30.0,0.26,0.5481,452,1.22
FARM-002,2025-12,22.1,10.4,25.5,0.253,0.5392,461,1.43
FARM-002,2026-01,21.9,12.0,28.8,0.335,0.6111,389,1.3
FARM-002,2026-02,22.5,10.5,32.3,0.385,0.5603,440,1.45
FARM-002,2026-03,25.9,14.2,27.5,0.406,0.6208,379,1.38
FARM-002,2026-04,29.3,12.6,25.8,0.354,0.5812,419,1.28
FARM-002,2026-05,36.0,15.5,28.8,0.354,0.553,447,1.36
FARM-002,2026-06,35.0,18.2,27.1,0.387,0.5471,453,1.34
FARM-002,2026-07,37.6,101.8,36.6,0.339,0.5719,428,1.5
FARM-002,2026-08,34.4,58.9,30.0,0.353,0.5947,405,1.4
FARM-003,2021-09,25.5,10.9,29.4,0.584,0.3891,611,5.05
FARM-003,2021-10,24.0,11.2,31.8,0.665,0.4594,541,4.91
FARM-003,2021-11,21.6,9.7,26.3,0.556,0.383,617,5.25
FARM-003,2021-12,18.2,1.5,25.2,0.515,0.3806,619,5.05
FARM-003,2022-01,17.5,6.3,26.9,0.503,0.3449,655,4.64
FARM-003,2022-02,18.6,6.3,27.3,0.577,0.4211,579,5.41
FARM-003,2022-03,20.2,4.5,28.6,0.646,0.3949,605,4.79
FARM-003,2022-04,21.0,0.0,30.4,0.543,0.3492,651,5.11
FARM-003,2022-05,27.3,23.4,33.7,0.506,0.415,585,4.79
FARM-003,2022-06,28.0,13.0,26.2,0.586,0.3973,603,5.25
FARM-003,2022-07,30.2,19.4,26.1,0.62,0.4437,556,4.92
FARM-003,2022-08,28.6,25.1,25.1,0.604,0.3869,613,4.92
FARM-003,2022-09,24.6,27.9,28.9,0.522,0.4189,581,4.88
FARM-003,2022-10,25.4,0.0,23.2,0.548,0.45,550,4.92
FARM-003,2022-11,22.6,7.2,19.3,0.598,0.4822,518,4.61
FARM-003,2022-12,20.6,5.1,23.9,0.646,0.5335,467,4.69
FARM-003,2023-01,21.8,1.9,27.1,0.608,0.5017,498,4.82
FARM-003,2023-02,19.1,6.2,22.9,0.656,0.5098,490,4.43
FARM-003,2023-03,20.6,4.5,27.6,0.653,0.5252,475,4.65
FARM-003,2023-04,25.6,4.7,28.0,0.674,0.5506,449,4.61
FARM-003,2023-05,28.6,13.2,29.2,0.654,0.5321,468,4.72
FARM-003,2023-06,27.8,24.0,30.6,0.68,0.5803,420,4.52
FARM-003,2023-07,32.9,40.8,29.2,0.677,0.6175,382,4.07
FARM-003,2023-08,27.4,39.9,25.2,0.766,0.5786,421,4.77
FARM-003,2023-09,27.9,34.0,30.7,0.658,0.5987,401,4.5
FARM-003,2023-10,25.1,12.3,28.1,0.742,0.6116,388,4.46
FARM-003,2023-11,20.8,2.9,30.5,0.696,0.6349,365,4.51
FARM-003,2023-12,19.7,5.9,24.6,0.826,0.651,349,4.42
FARM-003,2024-01,17.1,4.6,25.3,0.86,0.6626,337,3.87
FARM-003,2024-02,19.8,3.1,30.6,0.801,0.6242,376,4.37
FARM-003,2024-03,21.9,6.4,28.1,0.736,0.6203,380,4.33
FARM-003,2024-04,23.1,9.1,27.5,0.827,0.6501,350,4.12
FARM-003,2024-05,26.8,10.6,29.4,0.812,0.6951,305,4.08
FARM-003,2024-06,30.9,20.2,27.4,0.817,0.6648,335,4.42
FARM-003,2024-07,26.9,33.0,26.6,0.808,0.6753,325,3.8
FARM-003,2024-08,30.6,32.4,30.6,0.837,0.5986,401,4.36
FARM-003,2024-09,26.4,33.3,35.3,0.874,0.6317,368,4.38
FARM-003,2024-10,23.5,12.6,25.9,0.925,0.7004,300,4.06
FARM-003,2024-11,18.8,3.9,32.9,0.886,0.6566,343,4.14
FARM-003,2024-12,17.7,3.3,16.9,0.806,0.6279,372,4.39
FARM-003,2025-01,19.4,3.1,24.3,0.866,0.628,372,4.51
FARM-003,2025-02,17.9,4.5,22.9,0.741,0.5869,413,4.08
FARM-003,2025-03,21.8,4.3,23.3,0.814,0.5789,421,4.41
FARM-003,2025-04,23.7,7.3,25.9,0.772,0.538,462,4.59
FARM-003,2025-05,28.1,6.3,19.2,0.84,0.5191,481,4.88
FARM-003,2025-06,31.2,25.6,24.8,0.771,0.5329,467,4.7
FARM-003,2025-07,31.5,39.6,30.7,0.782,0.5277,472,4.62
FARM-003,2025-08,29.5,43.6,24.5,0.796,0.5311,469,4.57
FARM-003,2025-09,29.8,21.0,28.1,0.796,0.5197,480,4.55
FARM-003,2025-10,24.6,4.4,30.4,0.7,0.4854,515,5.1
FARM-003,2025-11,22.1,1.2,27.9,0.721,0.4333,567,4.69
FARM-003,2025-12,17.1,0.3,28.7,0.677,0.4981,502,4.88
FARM-003,2026-01,18.7,2.1,21.5,0.684,0.506,494,4.62
FARM-003,2026-02,16.8,1.0,33.8,0.682,0.4655,535,5.02
FARM-003,2026-03,23.4,7.6,26.1,0.627,0.5068,493,4.62
FARM-003,2026-04,24.6,9.3,29.2,0.666,0.457,543,4.85
FARM-003,2026-05,26.1,16.3,25.8,0.657,0.5574,443,3.74
FARM-003,2026-06,25.9,30.8,28.4,0.538,0.4723,528,4.8
FARM-003,2026-07,32.7,35.6,24.9,0.627,0.523,477,4.57
FARM-003,2026-08,31.0,50.8,25.1,0.564,0.5071,493,4.57
FARM-004,2021-09,31.4,75.7,15.9,0.885,0.848,152,1.25
FARM-004,2021-10,29.4,78.8,18.0,0.818,0.8127,187,1.18
FARM-004,2021-11,26.7,51.1,14.8,0.869,0.7891,211,1.21
FARM-004,2021-12,24.5,4.0,18.0,0.844,0.8222,178,1.24
FARM-004,2022-01,22.5,17.5,13.8,0.859,0.8194,181,1.2
FARM-004,2022-02,24.3,20.9,17.9,0.761,0.7086,291,1.22
FARM-004,2022-03,25.4,26.2,13.5,0.83,0.7828,217,1.32
FARM-004,2022-04,29.8,27.4,19.1,0.755,0.6847,315,1.33
FARM-004,2022-05,31.7,88.6,11.7,0.719,0.7197,280,1.32
FARM-004,2022-06,34.1,117.9,21.0,0.803,0.6878,312,1.32
FARM-004,2022-07,33.7,290.3,32.3,0.719,0.6323,368,1.28
FARM-004,2022-08,33.6,170.1,26.8,0.687,0.6534,347,1.43
FARM-004,2022-09,31.6,189.4,26.7,0.666,0.642,358,1.45
FARM-004,2022-10,28.7,105.0,20.4,0.673,0.6063,394,1.35
FARM-004,2022-11,26.5,44.2,14.3,0.716,0.5682,432,1.42
FARM-004,2022-12,22.0,24.2,14.3,0.744,0.6402,360,1.41
FARM-004,2023-01,25.1,24.8,8.2,0.667,0.6461,354,1.35
FARM-004,2023-02,21.0,43.2,14.1,0.642,0.5944,406,1.28
FARM-004,2023-03,25.3,27.8,13.9,0.686,0.6059,394,1.41
FARM-004,2023-04,30.1,58.1,8.5,0.655,0.6251,375,1.35
FARM-004,2023-05,30.3,60.8,10.0,0.645,0.6164,384,1.36
FARM-004,2023-06,35.1,167.6,19.0,0.59,0.5541,446,1.45
FARM-004,2023-07,35.6,206.0,22.7,0.616,0.5465,453,1.42
FARM-004,2023-08,33.7,75.1,16.9,0.58,0.5463,454,1.34
FARM-004,2023-09,29.6,164.4,26.5,0.628,0.6333,367,1.28
FARM-004,2023-10,28.0,87.2,21.6,0.588,0.5652,435,1.35
FARM-004,2023-11,24.9,35.2,13.7,0.583,0.5807,419,1.35
FARM-004,2023-12,24.3,37.7,11.6,0.579,0.5854,415,1.58
FARM-004,2024-01,23.0,19.5,13.9,0.561,0.5878,412,1.37
FARM-004,2024-02,23.7,20.4,10.1,0.597,0.5809,419,1.34
FARM-004,2024-03,26.9,26.4,7.5,0.637,0.6908,309,1.2
FARM-004,2024-04,27.6,48.0,16.5,0.625,0.6874,313,1.28
FARM-004,2024-05,33.5,89.5,17.3,0.594,0.6895,311,1.13
FARM-004,2024-06,35.1,88.5,18.5,0.603,0.6532,347,1.34
FARM-004,2024-07,32.6,157.7,27.5,0.582,0.6632,337,1.22
FARM-004,2024-08,35.1,157.5,26.4,0.624,0.6778,322,1.33
FARM-004,2024-09,29.9,158.1,24.4,0.667,0.721,279,1.29
FARM-004,2024-10,29.0,54.1,20.1,0.729,0.7396,260,1.25
FARM-004,2024-11,26.4,59.6,17.5,0.615,0.7698,230,1.23
FARM-004,2024-12,22.6,33.4,18.6,0.67,0.8194,181,1.21
FARM-004,2025-01,21.6,27.3,11.6,0.719,0.7963,204,1.26
FARM-004,2025-02,24.1,27.1,16.7,0.786,0.8209,179,1.24
FARM-004,2025-03,25.9,19.5,9.3,0.802,0.831,169,1.27
FARM-004,2025-04,29.2,56.9,13.5,0.681,0.799,201,1.22
FARM-004,2025-05,32.5,92.5,20.2,0.789,0.7439,256,1.35
FARM-004,2025-06,33.1,75.7,16.0,0.798,0.7899,210,1.2
FARM-004,2025-07,33.1,247.5,29.5,0.693,0.7087,291,1.2
FARM-004,2025-08,34.1,242.9,28.0,0.663,0.681,319,1.25
FARM-004,2025-09,32.6,117.6,16.1,0.773,0.718,282,1.29
FARM-004,2025-10,26.5,17.8,13.8,0.919,0.7996,200,1.21
FARM-004,2025-11,25.0,71.0,15.1,0.834,0.8064,194,1.26
FARM-004,2025-12,23.8,36.6,12.5,0.857,0.7296,270,1.26
FARM-004,2026-01,22.4,31.8,16.0,0.887,0.7506,249,1.21
FARM-004,2026-02,22.1,16.7,15.6,0.814,0.7184,282,1.3
FARM-004,2026-03,25.6,23.6,13.4,0.837,0.6845,315,1.31
FARM-004,2026-04,26.9,39.0,14.1,0.882,0.7308,269,1.28
FARM-004,2026-05,32.5,60.1,18.9,0.816,0.6447,355,1.2
FARM-004,2026-06,35.5,85.4,14.3,0.881,0.6846,315,1.27
FARM-004,2026-07,36.2,156.8,26.1,0.932,0.5724,428,1.44
FARM-004,2026-08,33.7,26.9,12.2,0.815,0.6182,382,1.34
FARM-005,2021-09,29.6,101.9,31.9,0.383,0.0827,917,0.93
FARM-005,2021-10,27.6,66.6,24.2,0.265,0.0585,942,0.94
FARM-005,2021-11,22.9,52.2,28.5,0.198,0.0202,980,0.85
FARM-005,2021-12,23.5,28.4,24.7,0.224,0.0298,970,0.93
FARM-005,2022-01,18.2,18.4,23.0,0.221,0.02,980,0.97
FARM-005,2022-02,21.7,41.9,24.0,0.215,0.0254,975,0.97
FARM-005,2022-03,22.6,36.7,28.0,0.254,0.02,980,1.08
FARM-005,2022-04,27.4,51.0,27.9,0.179,0.02,980,0.9
FARM-005,2022-05,28.0,56.6,25.6,0.171,0.02,980,0.88
FARM-005,2022-06,31.7,175.9,37.1,0.132,0.02,980,0.9
FARM-005,2022-07,32.4,163.7,36.2,0.139,0.02,980,0.96
FARM-005,2022-08,31.4,235.2,46.2,0.125,0.02,980,1.0
FARM-005,2022-09,28.1,50.7,25.4,0.092,0.02,980,0.97
FARM-005,2022-10,25.6,111.7,32.6,0.174,0.02,980,0.98
FARM-005,2022-11,24.6,40.1,22.8,0.072,0.02,980,0.93
FARM-005,2022-12,21.5,36.0,22.7,0.095,0.02,980,0.93
FARM-005,2023-01,20.6,25.3,21.0,0.11,0.02,980,0.89
FARM-005,2023-02,20.7,17.5,24.1,0.198,0.02,980,0.96
FARM-005,2023-03,23.4,21.6,20.3,0.184,0.02,980,0.94
FARM-005,2023-04,25.7,47.9,24.3,0.111,0.0529,947,0.91
FARM-005,2023-05,30.0,66.8,27.3,0.061,0.056,944,0.9
FARM-005,2023-06,31.3,101.7,28.5,0.137,0.0305,970,0.85
FARM-005,2023-07,33.3,243.4,36.3,0.158,0.02,980,0.92
FARM-005,2023-08,32.4,219.8,40.5,0.101,0.0272,973,0.96
FARM-005,2023-09,28.4,104.6,30.1,0.217,0.0735,927,0.92
FARM-005,2023-10,26.6,45.0,20.1,0.233,0.156,844,0.86
FARM-005,2023-11,23.5,48.6,21.7,0.188,0.1185,881,0.88
FARM-005,2023-12,19.8,23.9,15.3,0.323,0.2405,760,0.78
FARM-005,2024-01,21.8,16.4,16.9,0.315,0.2154,785,0.82
FARM-005,2024-02,20.4,42.9,27.9,0.275,0.1385,862,0.96
FARM-005,2024-03,22.8,24.7,26.3,0.355,0.1675,833,0.92
FARM-005,2024-04,26.2,41.3,24.7,0.318,0.1614,839,0.88
FARM-005,2024-05,28.9,78.8,28.8,0.319,0.2032,797,0.85
FARM-005,2024-06,30.7,128.0,34.4,0.29,0.2218,778,0.81
FARM-005,2024-07,33.8,252.1,41.9,0.357,0.2124,788,0.84
FARM-005,2024-08,31.2,235.3,45.7,0.343,0.1596,840,0.84
FARM-005,2024-09,28.3,175.7,41.6,0.416,0.1682,832,0.89
FARM-005,2024-10,25.4,51.8,24.7,0.37,0.2447,755,0.82
FARM-005,2024-11,23.3,46.8,24.1,0.389,0.2557,744,0.79
FARM-005,2024-12,20.4,45.4,25.7,0.431,0.2571,743,0.85
FARM-005,2025-01,20.4,32.5,21.8,0.419,0.285,715,0.75
FARM-005,2025-02,19.7,24.7,21.6,0.386,0.1616,838,0.87
FARM-005,2025-03,23.7,38.9,22.0,0.366,0.1197,880,0.83
FARM-005,2025-04,25.8,28.2,25.0,0.421,0.224,776,0.92
FARM-005,2025-05,27.3,71.6,26.0,0.416,0.1809,819,0.79
FARM-005,2025-06,31.8,68.1,25.7,0.402,0.1181,882,0.87
FARM-005,2025-07,29.8,210.4,38.8,0.419,0.1233,877,0.97
FARM-005,2025-08,31.4,171.2,39.4,0.395,0.1355,864,0.91
FARM-005,2025-09,29.3,143.9,32.7,0.389,0.0653,935,0.94
FARM-005,2025-10,24.4,118.2,34.9,0.396,0.1087,891,0.86
FARM-005,2025-11,24.7,39.0,24.9,0.424,0.0774,923,0.9
FARM-005,2025-12,21.6,36.7,27.3,0.366,0.0677,932,0.96
FARM-005,2026-01,19.5,43.0,28.9,0.334,0.0565,943,0.93
FARM-005,2026-02,21.0,25.4,18.6,0.383,0.0702,930,0.91
FARM-005,2026-03,24.1,26.0,24.6,0.292,0.0382,962,0.88
FARM-005,2026-04,27.1,41.6,25.8,0.337,0.0812,919,0.87
FARM-005,2026-05,27.5,64.0,25.9,0.274,0.0548,945,0.94
FARM-005,2026-06,31.0,202.0,39.3,0.284,0.0831,917,0.92
FARM-005,2026-07,32.5,195.2,38.9,0.294,0.02,980,0.91
FARM-005,2026-08,30.4,359.8,53.3,0.206,0.02,980,0.88
FARM-006,2021-09,27.6,82.6,26.8,0.627,0.2549,745,5.43
FARM-006,2021-10,26.9,42.8,30.8,0.646,0.3188,681,5.09
FARM-006,2021-11,23.1,15.9,29.0,0.633,0.2559,744,5.52
FARM-006,2021-12,21.1,15.0,30.3,0.535,0.3448,655,4.92
FARM-006,2022-01,21.3,29.4,27.7,0.654,0.3262,674,4.8
FARM-006,2022-02,20.3,30.7,34.1,0.673,0.3245,675,5.42
FARM-006,2022-03,25.4,27.6,27.0,0.63,0.3748,625,5.09
FARM-006,2022-04,27.6,15.4,32.3,0.646,0.3237,676,5.23
FARM-006,2022-05,29.1,36.9,29.7,0.658,0.4169,583,5.09
FARM-006,2022-06,32.4,63.2,30.4,0.615,0.365,635,5.15
FARM-006,2022-07,33.0,197.4,38.5,0.528,0.3484,652,5.32
FARM-006,2022-08,31.5,210.1,43.9,0.596,0.2884,712,4.95
FARM-006,2022-09,29.9,127.3,40.4,0.657,0.3469,653,5.09
FARM-006,2022-10,27.1,28.3,22.3,0.553,0.3731,627,4.92
FARM-006,2022-11,23.3,29.8,25.3,0.496,0.3618,638,5.08
FARM-006,2022-12,21.3,26.0,28.1,0.572,0.3451,655,5.1
FARM-006,2023-01,23.6,14.0,30.4,0.613,0.3911,609,4.96
FARM-006,2023-02,21.4,20.5,26.8,0.571,0.3222,678,4.99
FARM-006,2023-03,23.2,12.6,25.8,0.497,0.3297,670,4.94
FARM-006,2023-04,25.3,38.3,25.8,0.474,0.3154,685,5.52
FARM-006,2023-05,27.7,52.9,31.9,0.499,0.295,705,5.41
FARM-006,2023-06,30.8,152.2,41.3,0.495,0.298,702,5.02
FARM-006,2023-07,33.8,212.5,44.9,0.413,0.3017,698,5.11
FARM-006,2023-08,31.5,189.4,36.3,0.364,0.2871,713,5.45
FARM-006,2023-09,29.3,116.8,36.2,0.428,0.3673,633,5.01
FARM-006,2023-10,27.5,74.0,32.5,0.346,0.3318,668,5.3
FARM-006,2023-11,22.7,24.0,28.9,0.357,0.292,708,5.22
FARM-006,2023-12,22.3,23.6,27.2,0.374,0.3312,669,5.04
FARM-006,2024-01,20.2,17.3,28.5,0.437,0.3168,683,5.35
FARM-006,2024-02,21.4,20.1,26.4,0.408,0.2935,706,5.06
FARM-006,2024-03,25.3,32.2,34.1,0.364,0.3714,629,4.62
FARM-006,2024-04,27.6,30.4,27.2,0.343,0.421,579,5.28
FARM-006,2024-05,29.8,59.1,33.1,0.321,0.4184,582,4.8
FARM-006,2024-06,32.1,127.8,34.6,0.334,0.3974,603,5.25
FARM-006,2024-07,33.2,94.2,31.6,0.374,0.4696,530,4.74
FARM-006,2024-08,34.2,144.5,40.1,0.286,0.4613,539,4.65
FARM-006,2024-09,27.4,106.5,37.2,0.3,0.4608,539,4.45
FARM-006,2024-10,27.1,57.8,27.0,0.343,0.515,485,4.87
FARM-006,2024-11,24.6,22.8,23.6,0.358,0.5695,431,4.49
FARM-006,2024-12,24.0,22.2,26.9,0.382,0.5737,426,4.2
FARM-006,2025-01,20.0,12.6,29.0,0.428,0.6327,367,4.11
FARM-006,2025-02,22.1,17.1,24.5,0.42,0.6568,343,3.89
FARM-006,2025-03,22.6,35.5,29.2,0.427,0.6826,317,3.88
FARM-006,2025-04,26.0,25.9,29.0,0.442,0.6291,371,4.31
FARM-006,2025-05,30.0,44.9,26.6,0.395,0.7591,241,3.67
FARM-006,2025-06,31.3,100.6,42.0,0.443,0.6981,302,4.13
FARM-006,2025-07,33.0,163.6,38.9,0.366,0.6913,309,3.87
FARM-006,2025-08,32.2,161.8,41.2,0.448,0.7077,292,4.2
FARM-006,2025-09,30.9,87.2,29.3,0.507,0.735,265,4.19
FARM-006,2025-10,27.0,67.5,33.3,0.446,0.7652,235,3.85
FARM-006,2025-11,24.3,36.5,30.1,0.562,0.8371,163,3.13
FARM-006,2025-12,22.1,23.2,24.3,0.496,0.8618,138,3.25
FARM-006,2026-01,20.4,18.5,28.9,0.565,0.8879,112,3.19
FARM-006,2026-02,19.9,26.0,24.0,0.621,0.8895,111,3.35
FARM-006,2026-03,23.1,32.5,33.8,0.538,0.8273,173,3.98
FARM-006,2026-04,29.0,20.9,30.8,0.573,0.8949,105,3.11
FARM-006,2026-05,31.2,53.6,30.2,0.724,0.8319,168,3.76
FARM-006,2026-06,29.1,20.2,28.0,0.645,0.8969,103,3.51
FARM-006,2026-07,34.1,155.6,39.4,0.658,0.7926,207,3.49
FARM-006,2026-08,34.0,189.3,45.4,0.594,0.7834,217,3.78
FARM-007,2021-09,29.7,80.8,25.3,0.621,0.98,20,1.83
FARM-007,2021-10,27.3,34.2,19.4,0.573,0.98,20,1.77
FARM-007,2021-11,23.1,40.9,17.2,0.66,0.98,20,1.82
FARM-007,2021-12,21.2,23.9,20.9,0.621,0.98,20,1.69
FARM-007,2022-01,21.6,19.4,12.0,0.665,0.98,20,1.49
FARM-007,2022-02,21.3,22.2,15.3,0.674,0.98,20,1.72
FARM-007,2022-03,24.2,22.6,13.6,0.684,0.98,20,1.89
